Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,01/01/2024 0:03:20,79.3,89.4,70.9,78.4,91.8,16.4,Departure,17L,LAN500,LAN,LAN Airlines,KMIA,LAN500,B789
MP02,01/01/2024 1:13:03,81.3,91,73.3,81.8,94.1,14.7,Departure,17L,LAN801,LAN,LAN Airlines,NZAA,LAN801,B789
MP02,01/01/2024 3:52:30,76.7,86.4,72.2,76.5,89.3,12.8,Departure,17L,CMP475,CMP,Copa Airlines,MPTO,CMP475,B39M
MP02,01/01/2024 4:22:28,69.9,81,66.4,72.1,83.4,12.6,Departure,17L,SKU320,SKU,Sky Airline,SCDA,SKU320,A21N
MP02,01/01/2024 4:27:47,74.5,84.4,69.9,74.5,87.1,12.5,Departure,17L,SKU300,SKU,Sky Airline,SCAR,SKU300,A21N
MP02,01/01/2024 4:38:31,69,79.5,65.4,71,81.8,12.6,Departure,17L,SKU240,SKU,Sky Airline,SCCF,SKU240,A20N
MP02,01/01/2024 4:48:45,76.8,87.8,71.9,78.1,89.9,12.7,Departure,17L,QTR8147,QTR,Qatar Airways,SKBO,QTR8147,B77L
MP02,01/01/2024 5:00:39,70.1,80.3,66.2,71.4,82.4,12.5,Departure,17L,SKU270,SKU,Sky Airline,SCFA,SKU270,A21N
MP02,01/01/2024 5:20:01,73.7,83.5,69.4,73.9,85.6,12.3,Departure,17L,JAT501,JAT,JAT Airways,SCIE,JAT501,A320
MP02,01/01/2024 5:24:28,81,91.1,75.9,80.3,93.8,12.3,Departure,17L,KAL274,KAL,Korean Air,SPJC,KAL274,B77L
MP02,01/01/2024 5:27:57,75.6,84.5,70.8,74.5,85.8,12.3,Departure,17L,JAT760,JAT,JAT Airways,SUMU,JAT760,A21N
MP02,01/01/2024 5:32:57,77.6,87.6,72.8,77.2,90.5,12.2,Departure,17L,SKU620,SKU,Sky Airline,SBGL,SKU620,A320
MP02,01/01/2024 5:35:44,72.6,82,68.9,72.1,83.6,12.2,Departure,17L,JAT050,JAT,JAT Airways,SCFA,JAT050,A20N
MP02,01/01/2024 5:51:24,74.8,84,70.8,73.6,85.4,12.1,Departure,17L,JAT010,JAT,JAT Airways,SCDA,JAT010,A21N
MP02,01/01/2024 5:53:57,73.6,82.9,68.8,73.8,84,12.1,Departure,17L,LPE2370,LPE,LAN Peru,SPJC,LPE2370,A320
MP02,01/01/2024 6:05:02,71.5,80.2,66.7,71.8,83.2,12.1,Departure,17L,SKU173,SKU,Sky Airline,SCIE,SKU173,A20N
MP02,01/01/2024 6:07:15,79.6,87.6,74,77.1,89.6,12,Departure,17L,JAT870,JAT,JAT Airways,SBFL,JAT870,A21N
MP02,01/01/2024 6:11:24,82.6,91.1,75.7,81.3,93.2,12,Departure,17L,CMP396,CMP,Copa Airlines,MPTO,CMP396,B738
MP02,01/01/2024 7:17:29,77,87.7,73.2,77.4,89.5,12,Departure,17L,LAN126,LAN,LAN Airlines,SCFA,LAN126,A320
MP02,01/01/2024 7:31:58,65.1,69.2,63.2,59.2,69.2,12,Departure,17R,LCO1400,LCO,LAN Cargo,KMIA,LCO1400,B763
MP02,01/01/2024 8:18:31,77.8,86.9,73.8,75.7,89.1,14.2,Departure,17L,JAT030,JAT,JAT Airways,SCCF,JAT030,A21N
MP02,01/01/2024 8:23:54,80.8,89.9,75.3,79,91.9,14.5,Departure,17L,LXP311,LXP,,SCTE,LXP311,A320
MP02,01/01/2024 9:02:58,68.8,75.8,63.9,68,77.1,17.1,Departure,17R,LAN122,LAN,LAN Airlines,SCFA,LAN122,A320
MP02,01/01/2024 9:30:07,65.6,75.1,63.5,67,76.8,19.1,Departure,17R,LAN031,LAN,LAN Airlines,SCQP,LAN031,A321
MP02,01/01/2024 10:09:05,69.3,76.5,64.5,67.5,76.3,19.8,Departure,17R,JAT820,JAT,JAT Airways,SKRG,JAT820,A20N
MP02,01/01/2024 10:33:05,65,74,62.7,66.7,75,20.9,Departure,17R,LAN029,LAN,LAN Airlines,SCQP,LAN029,A321
MP02,01/01/2024 11:26:48,65,70.8,62.7,62.1,70.8,23.1,Departure,17R,LAN174,LAN,LAN Airlines,SCDA,LAN174,A321
MP02,01/01/2024 12:13:02,66.2,75.5,62.7,68.5,76.6,25,Departure,17R,TPA4096,TPA,TAMPA Cargo,SKBO,TPA4096,A332
MP02,01/01/2024 12:22:22,66.2,72.5,62.1,62.9,73.5,25.4,Departure,17R,LAN039,LAN,LAN Airlines,SCQP,LAN039,A320
MP02,01/01/2024 12:41:07,70.3,79.4,66.1,69.5,83.1,25.9,Departure,17L,CCCYT,CCC,,SCAR,CCCYT,PAY2
MP02,01/01/2024 14:23:42,66.1,76.3,62.4,68.1,78.1,29,Departure,17R,LCO1808,LCO,LAN Cargo,KMIA,LCO1808,B763
MP02,01/01/2024 16:25:43,76.7,85.9,72.3,74.9,88.4,31,Departure,17L,JES3881,JES,,SABE,JES3881,A320
MP02,01/01/2024 16:32:23,76,84.2,70.8,75.1,85.9,31,Departure,17L,LAN486,LAN,LAN Airlines,SACO,LAN486,A320
MP02,01/01/2024 18:45:00,72.7,82.6,67.1,73,84.6,28.4,Departure,17R,GTI8028,GTI,Atlas Air,KMIA,GTI8028,B744
MP02,01/01/2024 19:58:10,79.4,88.2,73.5,77.6,89.9,25.8,Departure,17L,LAN065,LAN,LAN Airlines,SCTE,LAN065,A320
MP02,01/01/2024 20:02:17,80.3,88.3,74.3,78.8,89.7,25.7,Departure,17L,LXP350,LXP,,SCFA,LXP350,A321
MP02,01/01/2024 20:07:30,79.2,88,74.5,78.1,89.8,25.4,Departure,17L,LAN156,LAN,LAN Airlines,SCCF,LAN156,A321
MP02,01/01/2024 20:32:39,71,77.4,68.1,65.8,79.1,24.1,Departure,17R,SKU1079,SKU,Sky Airline,SCTE,SKU1079,A20N
MP02,01/01/2024 20:44:21,71,80.2,64.8,72.3,81.1,23.3,Departure,17R,LAN184,LAN,LAN Airlines,SCAR,LAN184,A320
MP02,01/01/2024 21:00:14,66.8,73.8,63.2,64.7,75.8,22.4,Departure,17R,LAN166,LAN,LAN Airlines,SCDA,LAN166,A321
MP02,01/01/2024 21:38:52,65.7,72,61.6,64.2,73.6,20.1,Departure,17R,LAN706,LAN,LAN Airlines,LEMD,LAN706,B789
MP02,01/01/2024 22:23:55,72.2,80.9,66.9,71.2,83.4,18.6,Departure,17L,CCAYR,CCA,Air China,SCAR,CCAYR,C550
MP02,01/01/2024 22:48:01,83.2,93,77.6,83.6,95.8,18.2,Departure,17L,AAL912,AAL,American Airlines,KMIA,AAL912,B772
MP02,01/01/2024 22:55:46,69.4,79.8,65,72.2,81.8,18.2,Departure,17R,UAL846,UAL,United Airlines,KIAH,UAL846,B763
MP02,01/01/2024 23:46:36,76.1,86.9,72,76.9,88.6,17,Departure,17L,DAL146,DAL,Delta Air Lines,KATL,DAL146,A359
MP02,01/01/2024 23:54:59,76.2,85.7,71.9,75.4,87.8,16.9,Departure,17L,LAN500,LAN,LAN Airlines,KMIA,LAN500,B788
MP02,02/01/2024 0:04:40,79.8,89,74.7,78.2,91.2,16.7,Departure,17L,LAN532,LAN,LAN Airlines,KJFK,LAN532,B789
MP02,02/01/2024 0:11:26,75.5,84.6,70.9,74.4,87.3,16.5,Departure,17L,SKU604,SKU,Sky Airline,SBGR,SKU604,A20N
MP02,02/01/2024 0:13:43,79.7,88.9,75.2,78.8,91.3,16.5,Departure,17L,LAN602,LAN,LAN Airlines,KLAX,LAN602,B789
MP02,02/01/2024 0:19:10,78,87.2,72.6,77.3,89.2,16.4,Departure,17L,AAL940,AAL,American Airlines,KDFW,AAL940,B788
MP02,02/01/2024 0:33:04,83.2,92.2,76.6,82.3,95,16.1,Departure,17L,LCO1406,LCO,LAN Cargo,KMIA,LCO1406,B763
MP02,02/01/2024 0:44:30,78.9,87.4,73.5,78,89.9,15.9,Departure,17L,LAN578,LAN,LAN Airlines,SKBO,LAN578,B788
