Tipo Aeronave;PMD
A320;77,0
A321;89,0
A321;89,0
B789;248,0
A320;79,0
B788;228,0
A321;89,0
A320;79,0
A20N;77,0
B39M;88,0
A320;79,0
A320;77,0
A320;77,0
PAY2;4,3
A320;77,0
A320;77,0
A320;77,0
A321;89,0
A321;89,0
GLF5;41,0
A20N;79,0
A321;89,0
A320;77,0
A320;77,0
B789;253,0
A320;77,0
A21N;94,0
PAY2;4,31
A321;89,0
B763;187,0
A20N;74,0
A320;77,0
A320;77,0
A321;89,0
A320;77,0
A320;77,0
A320;77,0
BE20;5,36
A320;77,0
A320;77,0
A320;79,0
A320;74,0
A321;91,0
A20N;79,0
A21N;94,0
A321;89,0
A321;89,0
A320;79,0
B789;253,0
A320;77,0
A321;89,0
A320;77,0
A320;79,0
B748;448,0
A320;77,0
A320;77,0
A321;89,0
A21N;91,0
A320;77,0
A20N;74,0
A21N;91,0
A320;77,0
A320;77,0
A321;89,0
A320;77,0
A320;79,0
A20N;79,0
A321;89,0
A321;89,0
A320;77,0
A320;77,0
A21N;94,0
A321;89,0
A332;233,0
A21N;94,0
A320;77,0
A321;89,0
A109;3,0
B748;448,0
B789;253,0
A321;89,0
A320;77,0
A321;89,0
A320;77,0
A321;91,0
A21N;91,0
A321;89,0
A320;79,0
A320;79,0
A321;89,0
BE20;5,7
A321;89,0
A321;89,0
A21N;91,0
GLEX;46,0
B462;43,0
A320;77,0
A109;3,0
RJ85;44,0
A320;77,0
A320;77,0
A321;89,0
A20N;74,0
A321;89,0
A321;89,0
A320;78,0
A321;89,0
A321;89,0
A320;77,0
A21N;94,0
A320;77,0
G150;12,0
A321;89,0
A321;89,0
A320;77,0
A320;79,0
A320;79,0
A321;89,0
A321;89,0
A320;77,0
A321;89,0
A21N;94,0
A320;77,0
A321;89,0
EC35;3,0
A320;77,0
A321;89,0
B737;80,0
B789;253,0
A20N;79,0
A321;89,0
A21N;94,0
A321;89,0
B748;448,0
GLEX;46,0
B789;253,0
A21N;91,0
A320;79,0
A321;89,0
A321;89,0
C560;9,0
A320;78,0
A320;77,0
A320;77,0
A21N;91,0
A320;77,0
A320;77,0
A321;89,0
A21N;94,0
L410;7,0
B789;253,0
A320;79,0
A320;79,0
A320;77,0
A321;91,0
B748;448,0
D228;7,0
D228;7,0
A109;3,0
A21N;94,0
A321;89,0
A320;77,0
A321;89,0
A332;238,0
B737;80,0
A320;79,0
A320;79,0
B733;0,0
B462;42,0
A320;77,0
B789;253,0
A320;77,0
A20N;79,0
LJ31;8,0
A320;77,0
B200;5,675
A321;89,0
A321;89,0
A320;77,0
A320;77,0
B789;248,0
A320;77,0
A359;275,0
A109;3,0
A321;89,0
BE20;5,7
C560;9,0
A320;77,0
A109;3,0
A21N;91,0
L410;7,0
B200;5,68
A321;89,0
A21N;94,0
A20N;74,0
B06;1,0
B200;5,68
A321;91,0
A320;79,0
A320;77,0
A320;79,0
A320;77,0
A320;77,0
A321;89,0
A321;89,0
A321;91,0
B789;253,0
A320;77,0
A320;77,0
B739;88,0
A321;89,0
A321;89,0
DHC6;5,675
UH1;0,0
B462;43,0
L410;7,0
A359;268,0
D228;7,0
A321;89,0
A321;89,0
D228;7,0
A320;77,0
B737;71,0
A21N;94,0
A20N;79,0
B06;1,0
A321;89,0
A320;77,0
A119;2,85
A320;79,0
A320;77,0
A320;77,0
A20N;74,0
A21N;94,0
A320;79,0
UH1;0,0
A359;268,0
A321;89,0
A320;77,0
A321;89,0
B788;228,0
B763;186,0
A321;89,0
A321;89,0
A320;77,0
G150;12,0
A321;89,0
A321;89,0
A320;77,0
A21N;91,0
A320;77,0
A320;77,0
A320;77,0
A321;89,0
A333;242,0
A321;91,0
A321;89,0
B462;43,0
A320;77,0
A320;77,0
B200;5,68
A321;89,0
A320;74,0
B789;253,0
A321;89,0
A321;89,0
A321;89,0
B737;71,0
B789;253,0
A320;79,0
A321;89,0
A320;77,0
H60;10,0
L410;7,0
A320;79,0
B789;253,0
A320;77,0
A320;77,0
BE20;5,36
GLF4;33,0
A320;77,0
B763;187,0
A321;89,0
A321;89,0
A320;77,0
A321;89,0
A321;89,0
A320;79,0
A321;89,0
A20N;74,0
B789;253,0
B763;186,0
A320;79,0
A321;89,0
A119;2,85
PAY2;4,3
GLF4;33,0
A359;268,0
A321;89,0
A20N;79,0
B06;1,0
A321;89,0
GLF5;41,0
A320;79,0
H60;10,0
A321;89,0
B789;248,0
A320;78,0
A359;268,0
A321;89,0
B772;295,0
B788;228,0
A320;77,0
A359;275,0
A321;89,0
A320;77,0
A320;79,0
PAY2;4,3
A320;77,0
A320;77,0
B06;1,0
PAY2;4,31
B200;5,675
B788;228,0
A320;77,0
A332;233,0
A320;79,0
A321;89,0
A320;77,0
PAY2;4,09
B763;185,0
B788;228,0
B788;198,0
B763;187,0
A320;77,0
A320;77,0
A320;79,0
A321;89,0
A359;275,0
B788;228,0
A320;78,0
A320;74,0
A321;91,0
A320;77,0
A321;89,0
A320;77,0
A21N;94,0
A320;77,0
A21N;94,0
A321;89,0
A321;89,0
B733;0,0
B462;42,0
A321;89,0
A321;89,0
A321;89,0
A321;89,0
A321;89,0
A320;77,0
B789;253,0
A20N;79,0
B763;187,0
A321;89,0
A320;77,0
A320;77,0
B789;253,0
A321;89,0
A333;242,0
B788;228,0
A320;77,0
A20N;77,0
A320;77,0
A21N;94,0
A320;77,0
PAY2;4,09
A321;91,0
A320;77,0
A21N;91,0
A321;89,0
A320;79,0
A320;77,0
A332;233,0
A321;91,0
A321;89,0
B763;187,0
B788;228,0
A321;89,0
B738;79,0
A320;77,0
A321;89,0
A21N;91,0
A21N;94,0
A320;77,0
A320;77,0
A20N;79,0
B739;88,0
A320;77,0
A21N;94,0
A21N;91,0
A320;79,0
A320;79,0
PA31;4,09
B788;228,0
A321;89,0
A21N;91,0
A20N;77,0
A321;89,0
A320;77,0
A321;91,0
A321;89,0
A320;79,0
A320;77,0
A320;77,0
PAY2;4,09
A320;77,0
A320;77,0
A320;77,0
A321;89,0
A321;89,0
A320;79,0
A321;91,0
A321;89,0
A320;79,0
A320;77,0
B39M;88,0
B738;79,0
B763;185,0
A321;89,0
A320;79,0
A320;77,0
PA31;4,09
A321;89,0
B789;253,0
A320;79,0
A321;89,0
A21N;94,0
PAY2;4,09
B738;79,0
A320;79,0
B738;79,0
A321;89,0
B763;185,0
A321;89,0
A21N;91,0
B789;253,0
A321;89,0
A320;77,0
A321;89,0
A321;89,0
A320;79,0
A321;89,0
A319;70,0
A320;77,0
A359;275,0
A321;89,0
A20N;79,0
A21N;91,0
A332;238,0
A21N;94,0
PAY2;4,31
B788;228,0
B738;79,0
A321;89,0
A320;79,0
B788;198,0
A320;79,0
A20N;74,0
B738;79,0
B789;248,0
A359;268,0
A20N;79,0
A320;79,0
BE20;5,36
B788;228,0
A21N;91,0
A21N;94,0
A320;77,0
A321;89,0
A321;91,0
A321;91,0
B763;185,0
A321;89,0
A20N;79,0
B789;253,0
